Book,Name,Section,Count
1,Messala,Gaul,2
1,M. Piso,Gaul,2
1,L. Piso,Gaul,2
1,Gabinius,Gaul,1
1,Caesar,Gaul,108
1,L. Cassius,Gaul,3
1,Labienus,Gaul,7
1,P. Considius,Gaul,3
1,M. Crassus,Gaul,1
1,P. Crassus,Gaul,1
2,Caesar,Gaul,42
2,Labienus,Gaul,3
2,Sabinus,Gaul,3
2,Cotta,Gaul,1
2,Baculus,Gaul,1
2,P. Crassus,Gaul,1
3,Caesar,Gaul,18
3,S. Galba,Gaul,5
3,Baculus,Gaul,1
3,C. Volusenus,Gaul,1
3,P. Crassus,Gaul,16
3,Labienus,Gaul,1
3,Sabinus,Gaul,10
3,D. Brutus,Gaul,2
4,Pompey,Gaul,1
4,M. Crassus,Gaul,1
4,Caesar,Gaul,50
4,C. Volusenus,Gaul,3
4,Sabinus,Gaul,2
4,Cotta,Gaul,2
4,Labienus,Gaul,2
5,Caesar,Gaul,73
5,Labienus,Gaul,16
5,C. Trebonius,Gaul,2
5,C. Fabius,Gaul,4
5,Q. Cicero,Gaul,19
5,M. Crassus,Gaul,5
6,Caesar,Gaul,33
6,Pompey,Gaul,2
6,Labienus,Gaul,10
6,C. Fabius,Gaul,1
6,M. Crassus,Gaul,1
6,Q. Cicero,Gaul,2
6,C. Trebonius,Gaul,3
7,Caesar,Gaul,92
7,Pompey,Gaul,1
7,D. Brutus,Gaul,2
7,C. Trebonius,Gaul,2
7,Labienus,Gaul,15
7,C. Fabius,Gaul,5
7,Petreius. Elder,Gaul,1
7,Marcus. Antonius,Gaul,1
7,G. Caninius,Gaul,2
7,Q. Cicero,Gaul,1
8,Caesar,Gaul,69
8,Marcus. Antonius,Gaul,12
8,C. Trebonius,Gaul,6
8,C. Fabius,Gaul,11
8,Labienus,Gaul,7
8,C. Volusenus,Gaul,5
8,G. Caninius,Gaul,15
8,M. Crassus,Gaul,2
8,C. Marcellus,Gaul,5
8,C. Curio,Gaul,1
8,Pompey,Gaul,7
11,Caesar,Civil,199
11,Pompey,Civil,177
11,Lentulus,Civil,8
11,Marcus. Antonius,Civil,15
11,Scipio,Civil,34
11,Gabinius,Civil,4
11,C. Marcellus,Civil,1
11,M. Bibilus,Civil,14
11,V. Rufus,Civil,1
11,C. Curio,Civil,1
11,Labienus,Civil,6
11,M. Varro,Civil,1
11,C. Trebonius,Civil,3
11,M. Crassus,Civil,1
11,C.  Longinus,Civil,3
11,Petreius. Younger,Civil,1
11,Afranius,Civil,2
9,Caesar,Civil,167
9,Lentulus,Civil,12
9,Scipio,Civil,7
9,Pompey,Civil,76
9,C. Marcellus,Civil,5
9,Marcus. Antonius,Civil,6
9,L. Piso,Civil,1
9,Cato,Civil,5
9,C. Curio,Civil,6
9,Labienus,Civil,1
9,V. Rufus,Civil,4
9,G. Caninius,Civil,2
9,D. Brutus,Civil,3
9,C. Trebonius,Civil,1
9,C. Fabius,Civil,7
9,Afranius,Civil,52
9,Petreius. Younger,Civil,20
9,M. Varro,Civil,2
10,C. Trebonius,Civil,6
10,Caesar,Civil,41
10,Pompey,Civil,6
10,C. Curio,Civil,44
10,D. Brutus,Civil,6
10,M. Varro,Civil,12
10,Petreius. Younger,Civil,2
10,Afranius,Civil,4
10,G. Caninius,Civil,1
